epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,12532,93.52433351742512,1.502,41905.45355912096,0.74,1105231212900586.0
0,11694,28.634184354402517,1.684,37422.05686823147,0.917,1062032002888828.6
0,11716,7.495542988013327,1.523,187.0431525413174,1.206,2684276935611535.5
0,11950,6.350891511219691,1.512,82.47568982863665,1.215,2562015802791952.5
0,11195,123.14896840944995,1.615,134460.16029379622,0.723,562037554793401.9
0,11998,9.005673212343362,1.573,294.94895375124906,1.205,3864920587833491.5
0,274,71.5683547725213,1.543,28688.60325311645,0.741,142334185954174.66
0,11407,34.52130099594857,1.52,9349.181584609421,0.813,824808359631875.4
0,46,19.18761558050613,1.534,1554.4908354694107,0.78,291967560931645.7
0,11326,62.22857093183032,1.584,38021.084034920576,0.713,160582158512401.3
0,11335,38.14442793074381,1.609,11449.176722140832,0.658,602183094421503.0
0,12197,30.65364018270296,1.46,3181.6694309300533,0.915,1784745130352510.0
0,11693,45.92586383099433,1.485,4878.790976170729,0.583,204377292652145.5
0,11780,16.459083153735964,1.506,980.3511429141938,1.054,2328441298429782.5
0,12502,12.272603082597518,1.523,385.51901546414916,0.864,480672652536731.2
0,11866,20.077873510544894,1.477,1562.6116339280402,1.051,2279193972002573.0
0,11400,84.43816833907695,1.599,22635.982485561228,0.622,1390495508936917.8
0,12256,143.13848503275966,1.557,101856.46088761296,0.428,465331497886439.9
0,10320,60.86985208601835,1.601,37601.91144458975,0.82,1047433624842248.1
0,10030,14.997165239489943,1.477,686.6809543289324,0.966,1437940237588321.0
