epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,12532,74.32544397914451,1.148,25340.462504733372,0.681,656474067634827.5
0,2,635.4967191627177,1.116,1019422.0541210754,0.185,2.2331610310730976e+16
0,6,57.475587246435225,1.055,6297.9839959307055,0.211,2392897533640135.0
0,10,110.9812361496709,1.052,28483.151232981465,0.198,2891889220657685.5
0,11,31.71392327938202,1.006,1840.0911518209807,0.324,421327902715193.06
0,13,96.6003875265941,1.046,18161.811485639275,0.21,3262033538004093.0
0,20,13.730534105044603,0.999,353.3219898971225,0.401,498900162085319.1
0,22,129.87348725662102,1.074,45576.08822437685,0.189,3655765918718536.5
0,24,110.82046897332582,1.087,32322.76272955147,0.185,3903748525812114.0
0,26,74.15994422116539,1.091,12697.184200896454,0.273,1459601426356151.0
0,27,98.46247991940696,1.061,24306.575336605216,0.216,3719569809044262.0
0,28,16.30494224148662,1.001,462.0696607110122,0.386,324929079579941.3
0,29,448.5942956264519,1.127,770626.1856279945,0.189,1.1622993736882126e+16
0,32,322.6890562536875,1.156,373842.16845340544,0.189,4968751688110794.0
0,33,155.63725844581757,1.095,61727.67133139831,0.19,4644400561407305.0
0,34,20.40193903723585,0.994,763.5486612918694,0.35,688050955910994.1
0,39,46.07877516266086,1.045,5440.353506336376,0.187,944471594718733.8
0,41,31.940140183777533,1.044,1918.838211869771,0.303,1095693733118331.8
0,51,833.6909210726856,1.183,3208676.0225036065,0.178,2.480510071796008e+16
0,54,131.8454036339813,1.095,41178.9729239412,0.154,7192486057098841.0
