epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,2,538.673918506566,0.977,785845.8149823891,0.154,2.1978655672444844e+16
0,6,48.75187169335625,0.906,4771.2906971841785,0.179,2382285953669667.5
0,9,181.63898329463487,0.955,112424.3177060479,0.154,7046328433874315.0
0,10,93.24566846273503,0.902,21680.36663503669,0.165,2921108111390165.5
0,11,28.196662256206203,0.882,1595.6808871381818,0.277,502783950144417.2
0,13,82.90640104158324,0.914,14104.714720838801,0.179,2881401115257603.0
0,20,15.40680713128039,0.999,1173.9254457050242,0.399,354010667629609.9
0,22,114.36008831061812,0.962,37299.22037514592,0.166,3522561194510620.0
0,24,93.22608806400358,0.937,23753.778060353292,0.154,3946542269461374.5
0,26,61.89199147249789,0.924,9781.015701516237,0.219,1586337718421627.5
0,27,82.64052815436469,0.914,18687.47095581487,0.18,3665824570041308.5
0,28,14.087061501361665,0.86,346.67763742688015,0.326,288311055663362.6
0,29,376.7183880115762,0.965,611120.4554887194,0.152,1.165833511466288e+16
0,32,272.17749616737063,0.992,300621.06158654595,0.156,5878225763507469.0
0,33,130.6343503420857,0.934,48687.76831314264,0.157,4323849556780118.5
0,34,17.162490847803625,0.85,550.4398846870897,0.292,593917959547667.5
0,39,39.607015281463696,0.913,4266.48521466199,0.163,1113431241299275.9
0,41,26.446988201055404,0.893,1388.8170909094085,0.254,1009866030006490.6
0,51,692.678577113123,1.001,2550167.560899312,0.148,2.388465595325178e+16
0,54,111.10498988458194,0.94,31578.56891973628,0.13,7024993669183863.0
